Plant_Name,PrimSource,Total_MW,latitude,longitude
Genoa Diesel Generating Station,petroleum,6.00000000000,41.50920000000,-83.36060000000
Columbia Flooring Melbourne,biomass,1.70000000000,36.06051400000,-91.91980200000
Red Bluff,natural gas,44.80000000000,40.15010000000,-122.21240000000
Chowchilla II,natural gas,49.60000000000,37.10730000000,-120.24850000000
Pinelawn Power LLC,natural gas,74.50000000000,40.73661100000,-73.38842400000
"Waterside Power, LLC",petroleum,69.90000000000,41.03720000000,-73.55640000000
Central Michigan University,natural gas,4.20000000000,43.59045600000,-84.77900000000
Georgia-Pacific Wauna Mill,biomass,22.00000000000,46.15395500000,-123.40658000000
Medford Operation,biomass,7.50000000000,42.35551700000,-122.90464200000
Dike City Power Plant,petroleum,2.20000000000,42.46220000000,-92.62640000000
Combine Hills I,wind,41.00000000000,45.94300000000,-118.59100000000
500MW CC,natural gas,454.10000000000,40.78890000000,-73.90690000000
TG Windfarm LLC,wind,2.00000000000,43.98970000000,-96.22360000000
CG Windfarm LLC,wind,2.00000000000,43.99310000000,-96.21860000000
Bisson Windfarm LLC,wind,2.00000000000,43.98444400000,-96.21944400000
Tofteland Windfarm LLC,wind,2.00000000000,43.98027800000,-96.22333300000
Westridge Windfarm LLC,wind,2.00000000000,43.98861100000,-96.21555600000
Fey Windfarm LLC,wind,2.00000000000,44.03640000000,-96.07360000000
Windcurrent Farms LLC,wind,2.00000000000,44.02360000000,-96.07890000000
K-Brink Windfarm LLC,wind,2.00000000000,44.01970000000,-96.11830000000
DL Windy Acres LLC,wind,2.00000000000,43.65138900000,-95.36861100000
S&P Windfarm LLC,wind,2.00000000000,43.65138900000,-95.38250000000
Boeve Windfarm LLC,wind,2.00000000000,44.05080000000,-96.09330000000
B&K Energy Systems LLC,wind,2.00000000000,43.65138900000,-95.37550000000
Sweetwater Wind  1 LLC,wind,37.50000000000,32.36060000000,-100.33890000000
Sweetwater Wind 2 LLC,wind,91.50000000000,32.34720000000,-100.37030000000
Allendorf,wind,3.20000000000,43.40000000000,-95.63330000000
Alden Bailey Power Plant,natural gas,9.80000000000,46.15840200000,-123.40596000000
TS Power Plant,coal,218.40000000000,40.74610000000,-116.52970000000
Aeolus Wind Facility,wind,3.00000000000,36.47250000000,-101.32780000000
Bowling Green Wind,wind,7.20000000000,41.37860000000,-83.73830000000
Port Westward,natural gas,392.20000000000,46.17894000000,-123.17203900000
Prescott Airport,solar,2.10000000000,34.65840000000,-112.40080000000
Cogeneration 1,natural gas,8.30000000000,32.22992200000,-110.95279700000
DeKalb Medical Center-Hillandale,petroleum,1.40000000000,33.70360000000,-84.14940000000
Miramar Energy Facility,natural gas,94.00000000000,32.87690000000,-117.16638900000
EG178 Facility,natural gas,110.00000000000,32.74705800000,-100.95466100000
Caithness Long Island Energy Center,natural gas,316.90000000000,40.81420000000,-72.94030000000
Lake Side Power Plant,natural gas,1176.00000000000,40.33166700000,-111.75416700000
Groton Generating Station,natural gas,158.90000000000,45.37350000000,-98.09868900000
Malaga Power LLC,natural gas,96.00000000000,36.66970000000,-119.74040000000
Buffalo Gap Wind Farm,wind,120.60000000000,32.31155600000,-100.06158900000
Cannon Falls Energy Center,natural gas,316.00000000000,44.53668800000,-92.91552800000
Kindred School,petroleum,2.00000000000,46.64974000000,-97.00953000000
Perham Incinerator,biomass,0.80000000000,46.59145600000,-95.56482500000
State Auto Insurance,petroleum,1.70000000000,45.22071700000,-96.61678100000
Stevens Community Medical Center,petroleum,1.00000000000,45.58500000000,-95.90420000000
West Group Data Center F,petroleum,2.40000000000,44.82830000000,-93.11670000000
Shell Chemical,natural gas,69.00000000000,30.18750800000,-90.98396300000
Anson County Generation Facility,natural gas,339.00000000000,34.96865100000,-79.92173800000
Ontario LFGTE,biomass,11.20000000000,42.85860000000,-77.08720000000
Intrepid,wind,175.50000000000,42.55390000000,-95.32830000000
Century,wind,200.00000000000,42.56440000000,-93.63690000000
Millcreek Power Generation,natural gas,73.60000000000,37.11209200000,-113.51658100000
Hopkins Ridge Wind,wind,156.60000000000,46.42110000000,-117.83310000000
"John Street 1, 3, 4 & 5",petroleum,6.00000000000,41.44580000000,-72.83640000000
Kapaia Power Station,other,26.60000000000,21.99645100000,-159.37580300000
Empire Generating Co  LLC,natural gas,580.00000000000,42.62523900000,-73.75002100000
"High Point, Pump Station Rd",petroleum,3.60000000000,35.98610000000,-79.94970000000
Lexington,petroleum,3.60000000000,35.77360000000,-80.25940000000
"Gastonia, Tulip Drive",petroleum,5.40000000000,35.28914000000,-81.20521900000
Albemarle Prime Power Park,petroleum,3.60000000000,35.40720800000,-80.15184900000
South Fork,hydroelectric,1.90000000000,55.56333300000,-132.89111100000
WPPI Hartford DG,petroleum,1.10000000000,43.33580000000,-88.40970000000
IBM West,petroleum,3.60000000000,44.05870000000,-92.51190000000
Callahan Divide Wind Energy Center,wind,114.00000000000,32.30388900000,-100.02166700000
Diablo Wind LLC,wind,18.00000000000,37.76365300000,-121.61439200000
Weatherford Wind Energy Center,wind,147.00000000000,35.50940000000,-98.73460000000
