Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec
1400000US36047050500,36047050500,"Census Tract 505, Kings County, New York",4128,1624,1834,12,0,24,0,25,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,304,0,13,0,0,0,0,0,12,0,26,0,0,0,67,0,0,0
1400000US36047050600,36047050600,"Census Tract 506, Kings County, New York",5382,2381,1877,93,490,112,0,0,14,8,0,0,7,9,33,0,0,0,0,9,0,194,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,87,0,49,0
1400000US36047050700,36047050700,"Census Tract 507, Kings County, New York",1969,154,442,13,0,0,0,24,1177,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,22,0,66,0,0,0,0,48,0,0
1400000US36047050801,36047050801,"Census Tract 508.01, Kings County, New York",3654,1616,863,29,699,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,63,0,110,0
1400000US36047050803,36047050803,"Census Tract 508.03, Kings County, New York",1978,1317,316,15,206,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,60,0,0,0,0,0,0,6,0,0,0,0,0,9,0,5,0
1400000US36047050804,36047050804,"Census Tract 508.04, Kings County, New York",5434,3380,1512,12,422,0,0,0,23,14,0,0,23,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
1400000US36047050900,36047050900,"Census Tract 509, Kings County, New York",3370,542,203,0,0,0,0,0,2394,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,219,0,0
1400000US36047051001,36047051001,"Census Tract 510.01, Kings County, New York",4063,2933,632,116,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1400000US36047051002,36047051002,"Census Tract 510.02, Kings County, New York",4678,2630,1029,115,754,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,46,15,0,0,0,0,0,0,20,0,18,0,0,0,0,0,26,0
1400000US36047051100,36047051100,"Census Tract 511, Kings County, New York",3676,1704,1215,34,0,52,0,0,9,0,0,0,0,131,0,0,0,0,0,15,0,0,0,486,0,0,0,0,12,0,0,0,8,0,0,0,0,10,0,0,0
1400000US36047051200,36047051200,"Census Tract 512, Kings County, New York",5484,3084,977,37,1164,0,0,34,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,114,0
1400000US36047051300,36047051300,"Census Tract 513, Kings County, New York",4381,2079,1497,75,0,56,0,9,60,0,0,0,333,0,0,0,0,0,0,17,0,0,2,0,33,95,0,0,0,0,0,10,8,0,0,0,0,49,58,0,0
1400000US36047051400,36047051400,"Census Tract 514, Kings County, New York",6623,3256,1776,62,1185,0,0,32,0,33,52,0,0,1,0,22,0,0,0,0,0,68,5,23,36,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
1400000US36047051500,36047051500,"Census Tract 515, Kings County, New York",1255,937,188,44,7,9,0,15,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1400000US36047051601,36047051601,"Census Tract 516.01, Kings County, New York",4942,2923,689,20,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,88,140,0,0,0,0,0,0,10,0,0
1400000US36047051602,36047051602,"Census Tract 516.02, Kings County, New York",3537,2152,272,35,1018,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,19,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1400000US36047051700,36047051700,"Census Tract 517, Kings County, New York",1893,1267,57,58,0,45,29,0,0,0,0,0,79,130,0,41,0,0,29,19,0,0,0,34,13,11,0,0,0,0,0,11,0,9,0,0,9,0,52,0,0
1400000US36047051800,36047051800,"Census Tract 518, Kings County, New York",3285,1981,513,106,74,30,0,0,0,60,0,18,26,0,0,11,0,0,0,0,0,254,7,41,0,26,0,0,0,0,0,0,14,0,0,0,0,0,124,0,0
1400000US36047051900,36047051900,"Census Tract 519, Kings County, New York",4157,3255,382,174,0,59,12,71,0,0,0,13,18,33,0,9,0,0,0,0,0,0,11,41,0,33,0,0,0,20,12,0,0,0,0,0,0,14,0,0,0
