Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",1874,614,1219,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46919025614799614
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",3690,1382,1974,149,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,92,0,0.5710514758264114
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",1328,868,358,0,0,24,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4963392727536653
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",4233,1408,2432,77,2,2,2,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,218,0,0.5559342189424448
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",7086,3552,2723,2,0,36,0,14,0,29,0,71,0,285,0,0,0,0,0,0,166,20,65,47,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,25,0,0.5985442826564711
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",6789,2325,4253,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0.4896990858489102
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",3684,1289,2131,105,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,138,0,0.5407425484031071
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",2704,1769,453,0,0,120,0,8,0,11,0,0,0,0,30,43,0,0,0,0,0,18,137,95,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0.5376915308462588
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",4858,1674,2661,95,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0.575705575605322
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",890,376,386,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0.6240550435551067
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",5590,2876,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,164,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,303,0,0.573346859489057
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",6491,2927,2984,176,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,68,0.5824817321097406
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",6338,2871,3248,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0.5313123315855388
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",4740,1484,2732,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0.5584170093823996
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",3812,1486,1973,66,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0.5756319580625165
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",4958,1377,2729,121,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,494,0,0.6072571520904684
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",2619,1076,1146,0,0,164,8,7,0,0,0,0,46,5,0,4,0,0,0,0,0,68,0,20,0,0,0,0,0,0,0,0,17,0,0,5,0,2,0,51,0,0.634328309249484
